1	Escalera_Real	AS	K	Q	J	10	TRUE
2679	Pareja	K	K	6	9	A	
2680	Pareja	K	K	6	10	J	
2681	Pareja	K	K	6	10	Q	
2682	Pareja	K	K	6	10	A	
2683	Pareja	K	K	6	J	Q	
2684	Pareja	K	K	6	J	A	
2685	Pareja	K	K	6	Q	A	
2686	Pareja	K	K	7	8	9	
2687	Pareja	K	K	7	8	10	
2688	Pareja	K	K	7	8	J	
2689	Pareja	K	K	7	8	Q	
2690	Pareja	K	K	7	8	A	
2691	Pareja	K	K	7	9	10	
2692	Pareja	K	K	7	9	J	
2693	Pareja	K	K	7	9	Q	
2694	Pareja	K	K	7	9	A	
2695	Pareja	K	K	7	10	J	
2696	Pareja	K	K	7	10	Q	
2697	Pareja	K	K	7	10	A	
2698	Pareja	K	K	7	J	Q	
2699	Pareja	K	K	7	J	A	
2700	Pareja	K	K	7	Q	A	
2701	Pareja	K	K	8	9	10	
2702	Pareja	K	K	8	9	J	
2703	Pareja	K	K	8	9	Q	
2704	Pareja	K	K	8	9	A	
2705	Pareja	K	K	8	10	J	
2706	Pareja	K	K	8	10	Q	
2707	Pareja	K	K	8	10	A	
2708	Pareja	K	K	8	J	Q	
2709	Pareja	K	K	8	J	A	
2710	Pareja	K	K	8	Q	A	
2711	Pareja	K	K	9	10	J	
2712	Pareja	K	K	9	10	Q	
2713	Pareja	K	K	9	10	A	
2714	Pareja	K	K	9	J	Q	
2715	Pareja	K	K	9	J	A	
2716	Pareja	K	K	9	Q	A	
2717	Pareja	K	K	10	J	Q	
2718	Pareja	K	K	10	J	A	
2719	Pareja	K	K	10	Q	A	
2720	Pareja	K	K	J	Q	A	
2721	Pareja	Q	Q	2	3	4	
2722	Pareja	Q	Q	2	3	5	
2723	Pareja	Q	Q	2	3	6	
2724	Pareja	Q	Q	2	3	7	
2725	Pareja	Q	Q	2	3	8	
2726	Pareja	Q	Q	2	3	9	
2727	Pareja	Q	Q	2	3	10	
2728	Pareja	Q	Q	2	3	J	
2729	Pareja	Q	Q	2	3	K	
2730	Pareja	Q	Q	2	4	5	
2731	Pareja	Q	Q	2	4	6	
2732	Pareja	Q	Q	2	4	7	
2733	Pareja	Q	Q	2	4	8	
2734	Pareja	Q	Q	2	4	9	
2735	Pareja	Q	Q	2	4	10	
2736	Pareja	Q	Q	2	4	J	
2737	Pareja	Q	Q	2	4	K	
2738	Pareja	Q	Q	2	5	6	
2739	Pareja	Q	Q	2	5	7	
2740	Pareja	Q	Q	2	5	8	
2741	Pareja	Q	Q	2	5	9	
2742	Pareja	Q	Q	2	5	10	
2743	Pareja	Q	Q	2	5	J	
2744	Pareja	Q	Q	2	5	K	
2745	Pareja	Q	Q	2	6	7	
2746	Pareja	Q	Q	2	6	8	
2747	Pareja	Q	Q	2	6	9	
2748	Pareja	Q	Q	2	6	10	
2749	Pareja	Q	Q	2	6	J	
2750	Pareja	Q	Q	2	6	K	
2751	Pareja	Q	Q	2	7	8	
2752	Pareja	Q	Q	2	7	9	
2753	Pareja	Q	Q	2	7	10	
2754	Pareja	Q	Q	2	7	J	
2755	Pareja	Q	Q	2	7	K	
2756	Pareja	Q	Q	2	8	9	
2757	Pareja	Q	Q	2	8	10	
2758	Pareja	Q	Q	2	8	J	
2759	Pareja	Q	Q	2	8	K	
2760	Pareja	Q	Q	2	9	10	
2761	Pareja	Q	Q	2	9	J	
2762	Pareja	Q	Q	2	9	K	
2763	Pareja	Q	Q	2	10	J	
2764	Pareja	Q	Q	2	10	K	
2765	Pareja	Q	Q	2	J	K	
2766	Pareja	Q	Q	3	4	5	
2767	Pareja	Q	Q	3	4	6	
2768	Pareja	Q	Q	3	4	7	
2769	Pareja	Q	Q	3	4	8	
2770	Pareja	Q	Q	3	4	9	
2771	Pareja	Q	Q	3	4	10	
2772	Pareja	Q	Q	3	4	J	
2773	Pareja	Q	Q	3	4	K	
2774	Pareja	Q	Q	3	5	6	
2775	Pareja	Q	Q	3	5	7	
2776	Pareja	Q	Q	3	5	8	
2777	Pareja	Q	Q	3	5	9	
2778	Pareja	Q	Q	3	5	10	
2779	Pareja	Q	Q	3	5	J	
2780	Pareja	Q	Q	3	5	K	
2781	Pareja	Q	Q	3	6	7	
2782	Pareja	Q	Q	3	6	8	
2783	Pareja	Q	Q	3	6	9	
2784	Pareja	Q	Q	3	6	10	
2785	Pareja	Q	Q	3	6	J	
2786	Pareja	Q	Q	3	6	K	
2787	Pareja	Q	Q	3	7	8	
2788	Pareja	Q	Q	3	7	9	
2789	Pareja	Q	Q	3	7	10	
2790	Pareja	Q	Q	3	7	J	
2791	Pareja	Q	Q	3	7	K	
2792	Pareja	Q	Q	3	8	9	
2793	Pareja	Q	Q	3	8	10	
2794	Pareja	Q	Q	3	8	J	
2795	Pareja	Q	Q	3	8	K	
2796	Pareja	Q	Q	3	9	10	
2797	Pareja	Q	Q	3	9	J	
2798	Pareja	Q	Q	3	9	K	
2799	Pareja	Q	Q	3	10	J	
2800	Pareja	Q	Q	3	10	K	
2801	Pareja	Q	Q	3	J	K	
2802	Pareja	Q	Q	4	5	6	
2803	Pareja	Q	Q	4	5	7	
2804	Pareja	Q	Q	4	5	8	
2805	Pareja	Q	Q	4	5	9	
2806	Pareja	Q	Q	4	5	10	
2807	Pareja	Q	Q	4	5	J	
2808	Pareja	Q	Q	4	5	K	
2809	Pareja	Q	Q	4	6	7	
2810	Pareja	Q	Q	4	6	8	
2811	Pareja	Q	Q	4	6	9	
2812	Pareja	Q	Q	4	6	10	
2813	Pareja	Q	Q	4	6	J	
2814	Pareja	Q	Q	4	6	K	
2815	Pareja	Q	Q	4	7	8	
2816	Pareja	Q	Q	4	7	9	
2817	Pareja	Q	Q	4	7	10	
2818	Pareja	Q	Q	4	7	J	
2819	Pareja	Q	Q	4	7	K	
2820	Pareja	Q	Q	4	8	9	
2821	Pareja	Q	Q	4	8	10	
2822	Pareja	Q	Q	4	8	J	
2823	Pareja	Q	Q	4	8	K	
2824	Pareja	Q	Q	4	9	10	
2825	Pareja	Q	Q	4	9	J	
2826	Pareja	Q	Q	4	9	K	
2827	Pareja	Q	Q	4	10	J	
2828	Pareja	Q	Q	4	10	K	
2829	Pareja	Q	Q	4	J	K	
2830	Pareja	Q	Q	5	6	7	
2831	Pareja	Q	Q	5	6	8	
2832	Pareja	Q	Q	5	6	9	
2833	Pareja	Q	Q	5	6	10	
2834	Pareja	Q	Q	5	6	J	
2835	Pareja	Q	Q	5	6	K	
2836	Pareja	Q	Q	5	7	8	
2837	Pareja	Q	Q	5	7	9	
2838	Pareja	Q	Q	5	7	10	
2839	Pareja	Q	Q	5	7	J	
2840	Pareja	Q	Q	5	7	K	
2841	Pareja	Q	Q	5	8	9	
2842	Pareja	Q	Q	5	8	10	
2843	Pareja	Q	Q	5	8	J	
2844	Pareja	Q	Q	5	8	K	
2845	Pareja	Q	Q	5	9	10	
2846	Pareja	Q	Q	5	9	J	
2847	Pareja	Q	Q	5	9	K	
2848	Pareja	Q	Q	5	10	J	
2849	Pareja	Q	Q	5	10	K	
2850	Pareja	Q	Q	5	J	K	
2851	Pareja	Q	Q	6	7	8	
2852	Pareja	Q	Q	6	7	9	
2853	Pareja	Q	Q	6	7	10	
2854	Pareja	Q	Q	6	7	J	
2855	Pareja	Q	Q	6	7	K	
2856	Pareja	Q	Q	6	8	9	
2857	Pareja	Q	Q	6	8	10	
2858	Pareja	Q	Q	6	8	J	
2859	Pareja	Q	Q	6	8	K	
2860	Pareja	Q	Q	6	9	10	
2861	Pareja	Q	Q	6	9	J	
2862	Pareja	Q	Q	6	9	K	
2863	Pareja	Q	Q	6	10	J	
2864	Pareja	Q	Q	6	10	K	
2865	Pareja	Q	Q	6	J	K	
2866	Pareja	Q	Q	7	8	9	
2867	Pareja	Q	Q	7	8	10	
2868	Pareja	Q	Q	7	8	J	
2869	Pareja	Q	Q	7	8	K	
2870	Pareja	Q	Q	7	9	10	
2871	Pareja	Q	Q	7	9	J	
2872	Pareja	Q	Q	7	9	K	
2873	Pareja	Q	Q	7	10	J	
2874	Pareja	Q	Q	7	10	K	
2875	Pareja	Q	Q	7	J	K	
2876	Pareja	Q	Q	8	9	10	
2877	Pareja	Q	Q	8	9	J	
2878	Pareja	Q	Q	8	9	K	
2879	Pareja	Q	Q	8	10	J	
2880	Pareja	Q	Q	8	10	K	
2881	Pareja	Q	Q	8	J	K	
2882	Pareja	Q	Q	9	10	J	
2883	Pareja	Q	Q	9	10	K	
2884	Pareja	Q	Q	9	J	K	
2885	Pareja	Q	Q	10	J	K	
2886	Pareja	J	J	2	3	4	
2887	Pareja	J	J	2	3	5	
2888	Pareja	J	J	2	3	6	
2889	Pareja	J	J	2	3	7	
2890	Pareja	J	J	2	3	8	
2891	Pareja	J	J	2	3	9	
2892	Pareja	J	J	2	3	10	
2893	Pareja	J	J	2	3	Q	
2894	Pareja	J	J	2	3	K	
2895	Pareja	J	J	2	4	5	
2896	Pareja	J	J	2	4	6	
2897	Pareja	J	J	2	4	7	
2898	Pareja	J	J	2	4	8	
2899	Pareja	J	J	2	4	9	
2900	Pareja	J	J	2	4	10	
2901	Pareja	J	J	2	4	Q	
2902	Pareja	J	J	2	4	K	
2903	Pareja	J	J	2	5	6	
2904	Pareja	J	J	2	5	7	
2905	Pareja	J	J	2	5	8	
2906	Pareja	J	J	2	5	9	
2907	Pareja	J	J	2	5	10	
2908	Pareja	J	J	2	5	Q	
2909	Pareja	J	J	2	5	K	
2910	Pareja	J	J	2	6	7	
2911	Pareja	J	J	2	6	8	
2912	Pareja	J	J	2	6	9	
2913	Pareja	J	J	2	6	10	
2914	Pareja	J	J	2	6	Q	
2915	Pareja	J	J	2	6	K	
2916	Pareja	J	J	2	7	8	
2917	Pareja	J	J	2	7	9	
2918	Pareja	J	J	2	7	10	
2919	Pareja	J	J	2	7	Q	
2920	Pareja	J	J	2	7	K	
2921	Pareja	J	J	2	8	9	
2922	Pareja	J	J	2	8	10	
2923	Pareja	J	J	2	8	Q	
2924	Pareja	J	J	2	8	K	
2925	Pareja	J	J	2	9	10	
2926	Pareja	J	J	2	9	Q	
2927	Pareja	J	J	2	9	K	
2928	Pareja	J	J	2	10	Q	
2929	Pareja	J	J	2	10	K	
2930	Pareja	J	J	2	Q	K	
2931	Pareja	J	J	3	4	5	
2932	Pareja	J	J	3	4	6	
2933	Pareja	J	J	3	4	7	
2934	Pareja	J	J	3	4	8	
2935	Pareja	J	J	3	4	9	
2936	Pareja	J	J	3	4	10	
2937	Pareja	J	J	3	4	Q	
2938	Pareja	J	J	3	4	K	
2939	Pareja	J	J	3	5	6	
2940	Pareja	J	J	3	5	7	
2941	Pareja	J	J	3	5	8	
2942	Pareja	J	J	3	5	9	
2943	Pareja	J	J	3	5	10	
2944	Pareja	J	J	3	5	Q	
2945	Pareja	J	J	3	5	K	
2946	Pareja	J	J	3	6	7	
2947	Pareja	J	J	3	6	8	
2948	Pareja	J	J	3	6	9	
2949	Pareja	J	J	3	6	10	
2950	Pareja	J	J	3	6	Q	
2951	Pareja	J	J	3	6	K	
2952	Pareja	J	J	3	7	8	
2953	Pareja	J	J	3	7	9	
2954	Pareja	J	J	3	7	10	
2955	Pareja	J	J	3	7	Q	
2956	Pareja	J	J	3	7	K	
2957	Pareja	J	J	3	8	9	
2958	Pareja	J	J	3	8	10	
2959	Pareja	J	J	3	8	Q	
2960	Pareja	J	J	3	8	K	
2961	Pareja	J	J	3	9	10	
2962	Pareja	J	J	3	9	Q	
2963	Pareja	J	J	3	9	K	
2964	Pareja	J	J	3	10	Q	
2965	Pareja	J	J	3	10	K	
2966	Pareja	J	J	3	Q	K	
2967	Pareja	J	J	4	5	6	
2968	Pareja	J	J	4	5	7	
2969	Pareja	J	J	4	5	8	
2970	Pareja	J	J	4	5	9	
2971	Pareja	J	J	4	5	10	
2972	Pareja	J	J	4	5	Q	
2973	Pareja	J	J	4	5	K	
2974	Pareja	J	J	4	6	7	
2975	Pareja	J	J	4	6	8	
2976	Pareja	J	J	4	6	9	
2977	Pareja	J	J	4	6	10	
2978	Pareja	J	J	4	6	Q	
2979	Pareja	J	J	4	6	K	
2980	Pareja	J	J	4	7	8	
2981	Pareja	J	J	4	7	9	
2982	Pareja	J	J	4	7	10	
2983	Pareja	J	J	4	7	Q	
2984	Pareja	J	J	4	7	K	
2985	Pareja	J	J	4	8	9	
2986	Pareja	J	J	4	8	10	
2987	Pareja	J	J	4	8	Q	
2988	Pareja	J	J	4	8	K	
2989	Pareja	J	J	4	9	10	
2990	Pareja	J	J	4	9	Q	
2991	Pareja	J	J	4	9	K	
2992	Pareja	J	J	4	10	Q	
2993	Pareja	J	J	4	10	K	
2994	Pareja	J	J	4	Q	K	
2995	Pareja	J	J	5	6	7	
2996	Pareja	J	J	5	6	8	
2997	Pareja	J	J	5	6	9	
2998	Pareja	J	J	5	6	10	
2999	Pareja	J	J	5	6	Q	
3000	Pareja	J	J	5	6	K	
3001	Pareja	J	J	5	7	8	
3002	Pareja	J	J	5	7	9	
3003	Pareja	J	J	5	7	10	
3004	Pareja	J	J	5	7	Q	
3005	Pareja	J	J	5	7	K	
3006	Pareja	J	J	5	8	9	
3007	Pareja	J	J	5	8	10	
3008	Pareja	J	J	5	8	Q	
3009	Pareja	J	J	5	8	K	
3010	Pareja	J	J	5	9	10	
3011	Pareja	J	J	5	9	Q	
3012	Pareja	J	J	5	9	K	
3013	Pareja	J	J	5	10	Q	
3014	Pareja	J	J	5	10	K	
3015	Pareja	J	J	5	Q	K	
3016	Pareja	J	J	6	7	8	
3017	Pareja	J	J	6	7	9	
3018	Pareja	J	J	6	7	10	
3019	Pareja	J	J	6	7	Q	
3020	Pareja	J	J	6	7	K	
3021	Pareja	J	J	6	8	9	
3022	Pareja	J	J	6	8	10	
3023	Pareja	J	J	6	8	Q	
3024	Pareja	J	J	6	8	K	
3025	Pareja	J	J	6	9	10	
3026	Pareja	J	J	6	9	Q	
3027	Pareja	J	J	6	9	K	
3028	Pareja	J	J	6	10	Q	
3029	Pareja	J	J	6	10	K	
3030	Pareja	J	J	6	Q	K	
3031	Pareja	J	J	7	8	9	
3032	Pareja	J	J	7	8	10	
3033	Pareja	J	J	7	8	Q	
3034	Pareja	J	J	7	8	K	
3035	Pareja	J	J	7	9	10	
3036	Pareja	J	J	7	9	Q	
3037	Pareja	J	J	7	9	K	
3038	Pareja	J	J	7	10	Q	
3039	Pareja	J	J	7	10	K	
3040	Pareja	J	J	7	Q	K	
3041	Pareja	J	J	8	9	10	
3042	Pareja	J	J	8	9	Q	
3043	Pareja	J	J	8	9	K	
3044	Pareja	J	J	8	10	Q	
3045	Pareja	J	J	8	10	K	
3046	Pareja	J	J	8	Q	K	
3047	Pareja	J	J	9	10	Q	
3048	Pareja	J	J	9	10	K	
3049	Pareja	J	J	9	Q	K	
3050	Pareja	J	J	10	Q	K	
3051	Pareja	10	10	2	3	4	
3052	Pareja	10	10	2	3	5	
3053	Pareja	10	10	2	3	6	
3054	Pareja	10	10	2	3	7	
3055	Pareja	10	10	2	3	8	
3056	Pareja	10	10	2	3	9	
3057	Pareja	10	10	2	3	J	
3058	Pareja	10	10	2	3	Q	
3059	Pareja	10	10	2	3	K	
3060	Pareja	10	10	2	4	5	
3061	Pareja	10	10	2	4	6	
3062	Pareja	10	10	2	4	7	
3063	Pareja	10	10	2	4	8	
3064	Pareja	10	10	2	4	9	
3065	Pareja	10	10	2	4	J	
3066	Pareja	10	10	2	4	Q	
3067	Pareja	10	10	2	4	K	
3068	Pareja	10	10	2	5	6	
3069	Pareja	10	10	2	5	7	
3070	Pareja	10	10	2	5	8	
3071	Pareja	10	10	2	5	9	
3072	Pareja	10	10	2	5	J	
3073	Pareja	10	10	2	5	Q	
3074	Pareja	10	10	2	5	K	
3075	Pareja	10	10	2	6	7	
3076	Pareja	10	10	2	6	8	
3077	Pareja	10	10	2	6	9	
3078	Pareja	10	10	2	6	J	
3079	Pareja	10	10	2	6	Q	
3080	Pareja	10	10	2	6	K	
3081	Pareja	10	10	2	7	8	
3082	Pareja	10	10	2	7	9	
3083	Pareja	10	10	2	7	J	
3084	Pareja	10	10	2	7	Q	
3085	Pareja	10	10	2	7	K	
3086	Pareja	10	10	2	8	9	
3087	Pareja	10	10	2	8	J	
3088	Pareja	10	10	2	8	Q	
3089	Pareja	10	10	2	8	K	
3090	Pareja	10	10	2	9	J	
3091	Pareja	10	10	2	9	Q	
3092	Pareja	10	10	2	9	K	
3093	Pareja	10	10	2	J	Q	
3094	Pareja	10	10	2	J	K	
3095	Pareja	10	10	2	Q	K	
3096	Pareja	10	10	3	4	5	
3097	Pareja	10	10	3	4	6	
3098	Pareja	10	10	3	4	7	
3099	Pareja	10	10	3	4	8	
3100	Pareja	10	10	3	4	9	
3101	Pareja	10	10	3	4	J	
3102	Pareja	10	10	3	4	Q	
3103	Pareja	10	10	3	4	K	
3104	Pareja	10	10	3	5	6	
3105	Pareja	10	10	3	5	7	
3106	Pareja	10	10	3	5	8	
3107	Pareja	10	10	3	5	9	
3108	Pareja	10	10	3	5	J	
3109	Pareja	10	10	3	5	Q	
3110	Pareja	10	10	3	5	K	
3111	Pareja	10	10	3	6	7	
3112	Pareja	10	10	3	6	8	
3113	Pareja	10	10	3	6	9	
3114	Pareja	10	10	3	6	J	
3115	Pareja	10	10	3	6	Q	
3116	Pareja	10	10	3	6	K	
3117	Pareja	10	10	3	7	8	
3118	Pareja	10	10	3	7	9	
3119	Pareja	10	10	3	7	J	
3120	Pareja	10	10	3	7	Q	
3121	Pareja	10	10	3	7	K	
3122	Pareja	10	10	3	8	9	
3123	Pareja	10	10	3	8	J	
3124	Pareja	10	10	3	8	Q	
3125	Pareja	10	10	3	8	K	
3126	Pareja	10	10	3	9	J	
3127	Pareja	10	10	3	9	Q	
3128	Pareja	10	10	3	9	K	
3129	Pareja	10	10	3	J	Q	
3130	Pareja	10	10	3	J	K	
3131	Pareja	10	10	3	Q	K	
3132	Pareja	10	10	4	5	6	
3133	Pareja	10	10	4	5	7	
3134	Pareja	10	10	4	5	8	
3135	Pareja	10	10	4	5	9	
3136	Pareja	10	10	4	5	J	
3137	Pareja	10	10	4	5	Q	
3138	Pareja	10	10	4	5	K	
3139	Pareja	10	10	4	6	7	
3140	Pareja	10	10	4	6	8	
3141	Pareja	10	10	4	6	9	
3142	Pareja	10	10	4	6	J	
3143	Pareja	10	10	4	6	Q	
3144	Pareja	10	10	4	6	K	
3145	Pareja	10	10	4	7	8	
3146	Pareja	10	10	4	7	9	
3147	Pareja	10	10	4	7	J	
3148	Pareja	10	10	4	7	Q	
3149	Pareja	10	10	4	7	K	
3150	Pareja	10	10	4	8	9	
3151	Pareja	10	10	4	8	J	
3152	Pareja	10	10	4	8	Q	
3153	Pareja	10	10	4	8	K	
3154	Pareja	10	10	4	9	J	
3155	Pareja	10	10	4	9	Q	
3156	Pareja	10	10	4	9	K	
3157	Pareja	10	10	4	J	Q	
3158	Pareja	10	10	4	J	K	
3159	Pareja	10	10	4	Q	K	
3160	Pareja	10	10	5	6	7	
3161	Pareja	10	10	5	6	8	
3162	Pareja	10	10	5	6	9	
3163	Pareja	10	10	5	6	J	
3164	Pareja	10	10	5	6	Q	
3165	Pareja	10	10	5	6	K	
3166	Pareja	10	10	5	7	8	
3167	Pareja	10	10	5	7	9	
3168	Pareja	10	10	5	7	J	
3169	Pareja	10	10	5	7	Q	
3170	Pareja	10	10	5	7	K	
3171	Pareja	10	10	5	8	9	
3172	Pareja	10	10	5	8	J	
3173	Pareja	10	10	5	8	Q	
3174	Pareja	10	10	5	8	K	
3175	Pareja	10	10	5	9	J	
3176	Pareja	10	10	5	9	Q	
3177	Pareja	10	10	5	9	K	
3178	Pareja	10	10	5	J	Q	
3179	Pareja	10	10	5	J	K	
3180	Pareja	10	10	5	Q	K	
3181	Pareja	10	10	6	7	8	
3182	Pareja	10	10	6	7	9	
3183	Pareja	10	10	6	7	J	
3184	Pareja	10	10	6	7	Q	
3185	Pareja	10	10	6	7	K	
3186	Pareja	10	10	6	8	9	
3187	Pareja	10	10	6	8	J	
3188	Pareja	10	10	6	8	Q	
3189	Pareja	10	10	6	8	K	
3190	Pareja	10	10	6	9	J	
3191	Pareja	10	10	6	9	Q	
3192	Pareja	10	10	6	9	K	
3193	Pareja	10	10	6	J	Q	
3194	Pareja	10	10	6	J	K	
3195	Pareja	10	10	6	Q	K	
3196	Pareja	10	10	7	8	9	
3197	Pareja	10	10	7	8	J	
3198	Pareja	10	10	7	8	Q	
3199	Pareja	10	10	7	8	K	
3200	Pareja	10	10	7	9	J	
3201	Pareja	10	10	7	9	Q	
3202	Pareja	10	10	7	9	K	
3203	Pareja	10	10	7	J	Q	
3204	Pareja	10	10	7	J	K	
3205	Pareja	10	10	7	Q	K	
3206	Pareja	10	10	8	9	J	
3207	Pareja	10	10	8	9	Q	
3208	Pareja	10	10	8	9	K	
3209	Pareja	10	10	8	J	Q	
3210	Pareja	10	10	8	J	K	
3211	Pareja	10	10	8	Q	K	
3212	Pareja	10	10	9	J	Q	
3213	Pareja	10	10	9	J	K	
3214	Pareja	10	10	9	Q	K	
3215	Pareja	10	10	J	Q	K	
3216	Pareja	9	9	2	3	4	
3217	Pareja	9	9	2	3	5	
3218	Pareja	9	9	2	3	6	
3219	Pareja	9	9	2	3	7	
3220	Pareja	9	9	2	3	8	
3221	Pareja	9	9	2	3	10	
3222	Pareja	9	9	2	3	J	
3223	Pareja	9	9	2	3	Q	
3224	Pareja	9	9	2	3	K	
3225	Pareja	9	9	2	4	5	
3226	Pareja	9	9	2	4	6	
3227	Pareja	9	9	2	4	7	
3228	Pareja	9	9	2	4	8	
3229	Pareja	9	9	2	4	10	
3230	Pareja	9	9	2	4	J	
3231	Pareja	9	9	2	4	Q	
3232	Pareja	9	9	2	4	K	
3233	Pareja	9	9	2	5	6	
3234	Pareja	9	9	2	5	7	
3235	Pareja	9	9	2	5	8	
3236	Pareja	9	9	2	5	10	
3237	Pareja	9	9	2	5	J	
3238	Pareja	9	9	2	5	Q	
3239	Pareja	9	9	2	5	K	
3240	Pareja	9	9	2	6	7	
3241	Pareja	9	9	2	6	8	
3242	Pareja	9	9	2	6	10	
3243	Pareja	9	9	2	6	J	
3244	Pareja	9	9	2	6	Q	
3245	Pareja	9	9	2	6	K	
3246	Pareja	9	9	2	7	8	
3247	Pareja	9	9	2	7	10	
3248	Pareja	9	9	2	7	J	
3249	Pareja	9	9	2	7	Q	
3250	Pareja	9	9	2	7	K	
3251	Pareja	9	9	2	8	10	
3252	Pareja	9	9	2	8	J	
3253	Pareja	9	9	2	8	Q	
3254	Pareja	9	9	2	8	K	
3255	Pareja	9	9	2	10	J	
3256	Pareja	9	9	2	10	Q	
3257	Pareja	9	9	2	10	K	
3258	Pareja	9	9	2	J	Q	
3259	Pareja	9	9	2	J	K	
3260	Pareja	9	9	2	Q	K	
3261	Pareja	9	9	3	4	5	
3262	Pareja	9	9	3	4	6	
3263	Pareja	9	9	3	4	7	
3264	Pareja	9	9	3	4	8	
3265	Pareja	9	9	3	4	10	
3266	Pareja	9	9	3	4	J	
3267	Pareja	9	9	3	4	Q	
3268	Pareja	9	9	3	4	K	
3269	Pareja	9	9	3	5	6	
3270	Pareja	9	9	3	5	7	
3271	Pareja	9	9	3	5	8	
3272	Pareja	9	9	3	5	10	
3273	Pareja	9	9	3	5	J	
3274	Pareja	9	9	3	5	Q	
3275	Pareja	9	9	3	5	K	
3276	Pareja	9	9	3	6	7	
3277	Pareja	9	9	3	6	8	
3278	Pareja	9	9	3	6	10	
3279	Pareja	9	9	3	6	J	
3280	Pareja	9	9	3	6	Q	
3281	Pareja	9	9	3	6	K	
3282	Pareja	9	9	3	7	8	
3283	Pareja	9	9	3	7	10	
3284	Pareja	9	9	3	7	J	
3285	Pareja	9	9	3	7	Q	
3286	Pareja	9	9	3	7	K	
3287	Pareja	9	9	3	8	10	
3288	Pareja	9	9	3	8	J	
3289	Pareja	9	9	3	8	Q	
3290	Pareja	9	9	3	8	K	
3291	Pareja	9	9	3	10	J	
3292	Pareja	9	9	3	10	Q	
3293	Pareja	9	9	3	10	K	
3294	Pareja	9	9	3	J	Q	
3295	Pareja	9	9	3	J	K	
3296	Pareja	9	9	3	Q	K	
3297	Pareja	9	9	4	5	6	
3298	Pareja	9	9	4	5	7	
3299	Pareja	9	9	4	5	8	
3300	Pareja	9	9	4	5	10	
3301	Pareja	9	9	4	5	J	
3302	Pareja	9	9	4	5	Q	
3303	Pareja	9	9	4	5	K	
3304	Pareja	9	9	4	6	7	
3305	Pareja	9	9	4	6	8	
3306	Pareja	9	9	4	6	10	
3307	Pareja	9	9	4	6	J	
3308	Pareja	9	9	4	6	Q	
3309	Pareja	9	9	4	6	K	
3310	Pareja	9	9	4	7	8	
3311	Pareja	9	9	4	7	10	
3312	Pareja	9	9	4	7	J	
3313	Pareja	9	9	4	7	Q	
3314	Pareja	9	9	4	7	K	
3315	Pareja	9	9	4	8	10	
3316	Pareja	9	9	4	8	J	
3317	Pareja	9	9	4	8	Q	
3318	Pareja	9	9	4	8	K	
3319	Pareja	9	9	4	10	J	
3320	Pareja	9	9	4	10	Q	
3321	Pareja	9	9	4	10	K	
3322	Pareja	9	9	4	J	Q	
3323	Pareja	9	9	4	J	K	
3324	Pareja	9	9	4	Q	K	
3325	Pareja	9	9	5	6	7	
3326	Pareja	9	9	5	6	8	
3327	Pareja	9	9	5	6	10	
3328	Pareja	9	9	5	6	J	
3329	Pareja	9	9	5	6	Q	
3330	Pareja	9	9	5	6	K	
3331	Pareja	9	9	5	7	8	
3332	Pareja	9	9	5	7	10	
3333	Pareja	9	9	5	7	J	
3334	Pareja	9	9	5	7	Q	
3335	Pareja	9	9	5	7	K	
3336	Pareja	9	9	5	8	10	
3337	Pareja	9	9	5	8	J	
3338	Pareja	9	9	5	8	Q	
3339	Pareja	9	9	5	8	K	
3340	Pareja	9	9	5	10	J	
3341	Pareja	9	9	5	10	Q	
3342	Pareja	9	9	5	10	K	
3343	Pareja	9	9	5	J	Q	
3344	Pareja	9	9	5	J	K	
3345	Pareja	9	9	5	Q	K	
3346	Pareja	9	9	6	7	8	
3347	Pareja	9	9	6	7	10	
3348	Pareja	9	9	6	7	J	
3349	Pareja	9	9	6	7	Q	
3350	Pareja	9	9	6	7	K	
3351	Pareja	9	9	6	8	10	
3352	Pareja	9	9	6	8	J	
3353	Pareja	9	9	6	8	Q	
3354	Pareja	9	9	6	8	K	
3355	Pareja	9	9	6	10	J	
3356	Pareja	9	9	6	10	Q	
3357	Pareja	9	9	6	10	K	
3358	Pareja	9	9	6	J	Q	
3359	Pareja	9	9	6	J	K	
3360	Pareja	9	9	6	Q	K	
3361	Pareja	9	9	7	8	10	
3362	Pareja	9	9	7	8	J	
3363	Pareja	9	9	7	8	Q	
3364	Pareja	9	9	7	8	K	
3365	Pareja	9	9	7	10	J	
3366	Pareja	9	9	7	10	Q	
3367	Pareja	9	9	7	10	K	
3368	Pareja	9	9	7	J	Q	
3369	Pareja	9	9	7	J	K	
3370	Pareja	9	9	7	Q	K	
3371	Pareja	9	9	8	10	J	
3372	Pareja	9	9	8	10	Q	
3373	Pareja	9	9	8	10	K	
3374	Pareja	9	9	8	J	Q	
3375	Pareja	9	9	8	J	K	
3376	Pareja	9	9	8	Q	K	
3377	Pareja	9	9	10	J	Q	
3378	Pareja	9	9	10	J	K	
3379	Pareja	9	9	10	Q	K	
3380	Pareja	9	9	J	Q	K	
3381	Pareja	8	8	2	3	4	
3382	Pareja	8	8	2	3	5	
3383	Pareja	8	8	2	3	6	
3384	Pareja	8	8	2	3	7	
3385	Pareja	8	8	2	3	9	
3386	Pareja	8	8	2	3	10	
3387	Pareja	8	8	2	3	J	
